article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc
0126589011,126589,2p Claw,72,Hair clip,Accessories,1010011,Metallic,3,Silver,3,Light,15,Metal,4343,Hair Accessories,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,Plastic hair claws. Width 3.5 cm.
0145872051,145872,Dorian l/s basic,254,Top,Garment Upper body,1010010,Melange,9,Black,4,Dark,5,Black,8559,Men Sport Woven,S,Sport,26,Sport,22,Men H&M Sport,1005,Jersey Fancy,"Long-sleeved sports top in fast-drying, breathable functional fabric with overlocked seams for optimum comfort. Some of the polyester content of the top is recycled."
0150959011,150959,THOMPSON woven sport pants,272,Trousers,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,8394,Men Sport Bottoms,S,Sport,26,Sport,22,Men H&M Sport,1005,Jersey Fancy,"Running trousers in fast-drying, breathable functional fabric with elastication and a concealed drawstring at the waist. Mesh-lined side pockets, a concealed key pocket in the waistband, a zip at the hems, and reflective details. Regular fit."
0156227002,156227,Box 4p Kneehighs,304,Underwear Tights,Socks & Tights,1010016,Solid,13,Beige,2,Medium Dusty,11,Beige,3608,Tights basic,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Four pairs of knee highs. 20 denier.
0176550016,176550,Sleep bag padded,196,Sleep Bag,Underwear/nightwear,1010001,All over pattern,73,Dark Blue,4,Dark,2,Blue,6563,Baby Nightwear,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1017,"Under-, Nightwear","Lightly padded sleep bag in soft, patterned jersey with a jersey lining. The sleep bag is designed for indoor use only."
0179208008,179208,Control Top 100 den 1p Tights,273,Leggings/Tights,Garment Lower body,1010010,Melange,9,Black,4,Dark,5,Black,3608,Tights basic,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Matt opaque tights with a control top to hold in the tummy and bum. 100 denier.
0189691044,189691,Carolina sweater (1),252,Sweater,Garment Upper body,1010010,Melange,7,Grey,1,Dusty Light,12,Grey,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,Long-sleeved top in sweatshirt fabric with ribbing at the cuffs and hem.
0201219011,201219,Heavy plain 2 p tights,304,Underwear Tights,Socks & Tights,1010016,Solid,43,Dark Red,4,Dark,18,Red,3608,Tights basic,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Fine-knit tights with an elasticated waist.
0203595058,203595,Bryn Flanel Check,259,Shirt,Garment Upper body,1010004,Check,8,Dark Grey,4,Dark,12,Grey,5783,Shirt,F,Menswear,3,Menswear,55,Contemporary Street,1011,Shirts,Shirt in checked flannel with a collar and chest pocket. Regular fit.
0224521007,224521,DERRIDA windstopper tights,273,Leggings/Tights,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,8394,Men Sport Bottoms,S,Sport,26,Sport,22,Men H&M Sport,1005,Jersey Fancy,"Winter running tights in fast-drying, breathable functional fabric with elastication and a concealed drawstring at the waist. Zipped key pocket at the back and reflective details. Legs with windproof sections, mesh sections at the knees and on the inside, and a zip at the hems. Brushed thermal inside."
0224606031,224606,Flora hip belt (1),67,Belt,Accessories,1010009,Glittering/Metallic,5,Gold,5,Bright,15,Metal,3509,Belts,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,Narrow belt in grained imitation leather with a metal buckle. Width 2 cm.
0225784044,225784,HARLEY 2-pack basic tee,255,T-shirt,Garment Upper body,1010010,Melange,51,Light Pink,3,Light,4,Pink,7930,Young Girl Jersey Basic,I,Children Sizes 134-170,4,Baby/Children,79,Girls Underwear & Basics,1002,Jersey Basic,Short-sleeved tops in cotton jersey.
0226959007,226959,Astaire 1p Overknee,302,Socks,Socks & Tights,1010016,Solid,9,Black,4,Dark,5,Black,3610,Socks,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,"Over-the-knee socks in a soft, fine knit containing some wool."
0234432002,234432,Push Up 30 den 1p Tights,304,Underwear Tights,Socks & Tights,1010016,Solid,13,Beige,2,Medium Dusty,11,Beige,3608,Tights basic,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Push-up tights that lift and shape with an elasticated waist. 30 denier.
0234622003,234622,RAF basic rollerneck SB 2-p,254,Top,Garment Upper body,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,7668,Kids Boy Jersey Basic,H,Children Sizes 92-140,4,Baby/Children,72,Boys Underwear & Basics,1002,Jersey Basic,"Long-sleeved, polo-neck tops in organic cotton jersey."
0235732029,235732,Emma long-john PJ (K),297,Pyjama set,Nightwear,1010010,Melange,6,Light Grey,2,Medium Dusty,12,Grey,3709,Nightwear,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1017,"Under-, Nightwear",Pyjamas in jersey. Long-sleeved top with ribbed cuffs. Leggings with an elasticated waist and ribbed hems.
0237347011,237347,Theron (1),308,Hoodie,Garment Upper body,1010010,Melange,7,Grey,2,Medium Dusty,12,Grey,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,"Jacket in sweatshirt fabric with a lined drawstring hood, zip down the front, side pockets and ribbing at the cuffs and hem."
0237347045,237347,Theron (1),308,Hoodie,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,"Jacket in sweatshirt fabric with a lined drawstring hood, zip down the front, side pockets and ribbing at the cuffs and hem."
0237347063,237347,Theron (1),308,Hoodie,Garment Upper body,1010016,Solid,52,Pink,1,Dusty Light,1,Mole,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,"Jacket in sweatshirt fabric with a lined drawstring hood, zip down the front, side pockets and ribbing at the cuffs and hem."
0241602018,241602,Manson SF slim fit blazer,264,Blazer,Garment Upper body,1010010,Melange,7,Grey,2,Medium Dusty,12,Grey,8615,Blazer S&T,F,Menswear,3,Menswear,23,Men Suits & Tailoring,1008,Dressed,"Single-breasted jacket in woven fabric with narrow notch lapels, a decorative buttonhole and two buttons down the front. Chest pocket, flap front pockets and two inner pockets, one with a button. Decorative buttons at the cuffs and a single back vent. Lined. Slim fit that tapers at the chest and waist, which combined with slightly narrower sleeves creates a fitted silhouette. For the matching trousers, search on 0391750."
0253448001,253448,OP Push Melbourne^,306,Bra,Underwear,1010016,Solid,9,Black,4,Dark,5,Black,1339,Clean Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Push-up bra in microfibre with underwired, moulded, padded cups for a larger bust and fuller cleavage, adjustable shoulder straps and a hook-and-eye fastening at the back."
0255396007,255396,Nora Cardigan,245,Cardigan,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,5962,Jersey Fancy DS,D,Divided,2,Divided,58,Divided Selected,1005,Jersey Fancy,"Cardigan in sweatshirt fabric with a lined hood, diagonal zip at the front and side pockets. Ribbed cuffs and a raw-edge hem."
0256151014,256151,Superstretch Fancy denim,272,Trousers,Garment Lower body,1010018,Treatment,9,Black,4,Dark,5,Black,5961,Dresses DS,D,Divided,2,Divided,58,Divided Selected,1013,Dresses Ladies,"Low-rise trousers in washed, superstretch twill with front and back pockets and skinny legs."
0265069020,265069,PELLE Basic S/S jersey polo SB,255,T-shirt,Garment Upper body,1010016,Solid,92,Green,5,Bright,19,Green,7668,Kids Boy Jersey Basic,H,Children Sizes 92-140,4,Baby/Children,72,Boys Underwear & Basics,1002,Jersey Basic,Polo shirt in organic cotton jersey with a ribbed collar and button placket.
0275362021,275362,Jersey harem shorts,274,Shorts,Garment Lower body,1010016,Solid,13,Beige,1,Dusty Light,1,Mole,5882,Jersey Fancy,F,Menswear,3,Menswear,55,Contemporary Street,1005,Jersey Fancy,"Knee-length shorts in sweatshirt fabric with a low crotch, elasticated drawstring waist, side pockets, back pockets and ribbed hems."
0277738002,277738,Basic overall,267,Jumpsuit/Playsuit,Garment Full body,1010010,Melange,7,Grey,1,Dusty Light,12,Grey,6515,Baby basics,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1002,Jersey Basic,"All-in-one suit in organic cotton sweatshirt fabric with a jersey-lined hood, zip down the front, front pockets and ribbing at the cuffs and hems."
0278811011,278811,Hilly Biker 2pk HW LS,286,Underwear bottom,Underwear,1010016,Solid,13,Beige,2,Medium Dusty,11,Beige,3710,Functional Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Shaping bikers in microfibre with a high waist, lined gusset, longer legs and laser-cut edges. Light shaping effect on the waist, bum and hips."
